wavelength, amplitude
312.634, 366.17
313.003, 412.3
313.372, 463.05
313.741, 389.24
314.11, 393.85
314.478, 453.82
314.847, 467.66
315.216, 451.52
315.584, 428.45
315.953, 430.76
316.322, 386.93
316.69, 407.69
317.059, 386.93
317.427, 430.76
317.796, 403.08
318.164, 377.71
318.532, 502.26
318.901, 460.74
319.269, 430.76
319.637, 435.37
320.005, 382.32
320.374, 421.53
320.742, 400.77
321.11, 412.3
321.478, 423.84
321.846, 398.46
322.214, 393.85
322.582, 375.4
322.95, 343.11
323.317, 396.16
323.685, 423.84
324.053, 458.44
324.421, 421.53
324.788, 442.29
325.156, 423.84
325.524, 460.74
325.891, 518.41
326.259, 467.66
326.626, 465.36
326.994, 479.2
327.361, 460.74
327.728, 442.29
328.096, 472.28
328.463, 393.85
328.83, 433.06
329.198, 483.81
329.565, 460.74
329.932, 506.87
330.299, 569.15
330.666, 442.29
331.033, 476.89
331.4, 497.65
331.767, 460.74
332.134, 435.37
332.501, 497.65
332.867, 541.47
333.234, 506.87
333.601, 617.59
333.968, 723.69
334.334, 857.48
334.701, 988.95
335.068, 1101.98
335.434, 1411.06
335.801, 1791.65
336.167, 2568.97
336.533, 2859.6
336.9, 2276.03
337.266, 1780.12
337.632, 1697.08
337.999, 1344.17
338.365, 1185.01
338.731, 1122.74
339.097, 1005.1
339.463, 912.84
339.829, 781.36
340.195, 730.61
340.561, 735.23
340.927, 571.46
341.293, 548.39
341.659, 532.25
342.025, 520.71
342.391, 532.25
342.756, 520.71
343.122, 550.7
343.488, 569.15
343.853, 559.93
344.219, 504.57
344.585, 504.57
344.95, 509.18
345.316, 518.41
345.681, 476.89
346.046, 467.66
346.412, 444.6
346.777, 534.55
347.142, 460.74
347.507, 555.31
347.873, 439.98
348.238, 419.22
348.603, 543.78
348.968, 451.52
349.333, 460.74
349.698, 458.44
350.063, 472.28
350.428, 493.03
350.793, 483.81
351.157, 511.49
351.522, 513.79
351.887, 529.94
352.252, 523.02
352.616, 458.44
352.981, 518.41
353.346, 481.5
353.71, 421.53
354.075, 435.37
354.439, 513.79
354.803, 460.74
355.168, 516.1
355.532, 615.28
355.896, 645.27
356.261, 813.65
356.625, 991.26
356.989, 1281.89
357.353, 1699.38
357.717, 1881.61
358.081, 2043.07
358.445, 1902.36
358.809, 1618.65
359.173, 1355.7
359.537, 1138.88
359.901, 1002.79
360.265, 788.28
360.629, 679.87
360.992, 765.21
361.356, 684.48
361.72, 679.87
362.083, 569.15
362.447, 702.94
362.81, 682.18
363.174, 585.3
363.537, 606.06
363.901, 689.1
364.264, 520.71
364.627, 529.94
364.991, 615.28
365.354, 578.38
365.717, 536.86
366.08, 463.05
366.443, 486.12
366.806, 527.63
367.17, 490.73
367.533, 562.23
367.895, 474.58
368.258, 509.18
368.621, 474.58
368.984, 525.33
369.347, 516.1
369.71, 532.25
370.072, 525.33
370.435, 513.79
370.798, 451.52
371.16, 474.58
371.523, 416.92
371.885, 442.29
372.248, 486.12
372.61, 446.9
372.973, 495.34
373.335, 529.94
373.697, 497.65
374.06, 463.05
374.422, 504.57
374.784, 559.93
375.146, 486.12
375.508, 543.78
375.87, 479.2
376.232, 559.93
376.594, 453.82
376.956, 546.09
377.318, 520.71
377.68, 382.32
378.042, 495.34
378.404, 553.01
378.765, 497.65
379.127, 536.86
379.489, 564.54
379.85, 550.7
380.212, 585.3
380.573, 543.78
380.935, 543.78
381.296, 594.53
381.658, 573.77
382.019, 712.16
382.38, 843.64
382.742, 1023.55
383.103, 1376.46
383.464, 1927.74
383.825, 2453.64
384.186, 2912.65
384.547, 3639.23
384.909, 4174.36
385.27, 4654.13
385.63, 4483.45
385.991, 4421.17
386.352, 4624.15
386.713, 4808.68
387.074, 5565.24
387.435, 5622.9
387.795, 4935.54
388.156, 5396.86
388.517, 4820.21
388.877, 3210.2
389.238, 2054.6
389.598, 1812.41
389.959, 1471.03
390.319, 1288.81
390.679, 1120.43
391.04, 1021.25
391.4, 924.37
391.76, 965.89
392.121, 896.69
392.481, 850.56
392.841, 804.43
393.201, 769.83
393.561, 702.94
393.921, 636.04
394.281, 645.27
394.641, 705.24
395.001, 809.04
395.361, 839.02
395.72, 714.47
396.08, 594.53
396.44, 633.74
396.8, 587.61
397.159, 553.01
397.519, 476.89
397.878, 536.86
398.238, 559.93
398.597, 569.15
398.957, 659.11
399.316, 647.58
399.675, 576.07
400.035, 619.9
400.394, 513.79
400.753, 509.18
401.112, 516.1
401.472, 476.89
401.831, 437.68
402.19, 546.09
402.549, 516.1
402.908, 562.23
403.267, 652.19
403.625, 652.19
403.984, 686.79
404.343, 765.21
404.702, 769.83
405.061, 730.61
405.419, 633.74
405.778, 638.35
406.136, 599.14
406.495, 513.79
406.853, 516.1
407.212, 536.86
407.57, 520.71
407.929, 534.55
408.287, 610.67
408.645, 599.14
409.004, 548.39
409.362, 513.79
409.72, 497.65
410.078, 668.34
410.436, 553.01
410.794, 555.31
411.152, 472.28
411.51, 451.52
411.868, 536.86
412.226, 534.55
412.584, 557.62
412.942, 626.82
413.299, 737.53
413.657, 1005.1
414.015, 991.26
414.372, 1113.51
414.73, 1240.37
415.088, 1314.18
415.445, 1424.9
415.803, 1787.04
416.16, 2091.51
416.517, 1607.12
416.875, 1228.84
417.232, 905.92
417.589, 910.53
417.946, 993.57
418.304, 1078.91
418.661, 1055.84
419.018, 1078.91
419.375, 1307.26
419.732, 1611.73
420.089, 1996.94
420.446, 1985.4
420.803, 1249.6
421.159, 901.3
421.516, 878.24
421.873, 832.1
422.23, 645.27
422.586, 527.63
422.943, 476.89
423.299, 465.36
423.656, 585.3
424.012, 566.85
424.369, 497.65
424.725, 499.95
425.082, 573.77
425.438, 666.03
425.794, 822.88
426.15, 935.9
426.507, 991.26
426.863, 1032.78
427.219, 1106.59
427.575, 1194.24
427.931, 1099.67
428.287, 1145.8
428.643, 1268.05
428.999, 1351.09
429.355, 1547.15
429.711, 1752.44
430.066, 2158.4
430.422, 2331.39
430.778, 2299.1
431.133, 2815.78
431.489, 3477.77
431.844, 2310.63
432.2, 1210.39
432.555, 1014.33
432.911, 931.29
433.266, 1055.84
433.622, 1224.23
433.977, 1244.99
434.332, 1078.91
434.687, 1065.07
435.043, 1025.86
435.398, 975.11
435.753, 972.81
436.108, 991.26
436.463, 1048.92
436.818, 949.74
437.173, 859.78
437.528, 712.16
437.882, 702.94
438.237, 642.96
438.592, 668.34
438.947, 594.53
439.301, 479.2
439.656, 479.2
440.01, 495.34
440.365, 458.44
440.72, 499.95
441.074, 488.42
441.428, 479.2
441.783, 476.89
442.137, 472.28
442.491, 456.13
442.846, 474.58
443.2, 414.61
443.554, 384.62
443.908, 414.61
444.262, 430.76
444.616, 426.14
444.97, 451.52
445.324, 453.82
445.678, 382.32
446.032, 416.92
446.385, 414.61
446.739, 497.65
447.093, 479.2
447.447, 499.95
447.8, 539.17
448.154, 534.55
448.507, 493.03
448.861, 543.78
449.214, 525.33
449.568, 573.77
449.921, 566.85
450.274, 610.67
450.628, 548.39
450.981, 705.24
451.334, 612.98
451.687, 629.12
452.041, 599.14
452.394, 546.09
452.747, 532.25
453.1, 518.41
453.453, 506.87
453.805, 474.58
454.158, 456.13
454.511, 444.6
454.864, 428.45
455.217, 548.39
455.569, 536.86
455.922, 467.66
456.275, 497.65
456.627, 509.18
456.98, 439.98
457.332, 451.52
457.684, 490.73
458.037, 483.81
458.389, 377.71
458.741, 532.25
459.094, 516.1
459.446, 534.55
459.798, 463.05
460.15, 479.2
460.502, 536.86
460.854, 511.49
461.206, 474.58
461.558, 456.13
461.91, 414.61
462.262, 456.13
462.614, 467.66
462.966, 476.89
463.317, 458.44
463.669, 539.17
464.021, 481.5
464.372, 504.57
464.724, 513.79
465.075, 652.19
465.427, 818.26
465.778, 834.41
466.13, 975.11
466.481, 1219.61
466.832, 1358.01
467.183, 1519.47
467.535, 1810.1
467.886, 2109.96
468.237, 2172.24
468.588, 2139.94
468.939, 1763.97
469.29, 1604.81
469.641, 1828.55
469.992, 1879.3
470.343, 1489.48
470.694, 1328.02
471.044, 1387.99
471.395, 1563.3
471.746, 1644.03
472.096, 1251.9
472.447, 1083.52
472.798, 1035.08
473.148, 1039.7
473.499, 1203.47
473.849, 1353.4
474.199, 1145.8
474.55, 774.44
474.9, 642.96
475.25, 513.79
475.6, 499.95
475.951, 437.68
476.301, 483.81
476.651, 481.5
477.001, 499.95
477.351, 585.3
477.701, 582.99
478.051, 610.67
478.4, 511.49
478.75, 502.26
479.1, 523.02
479.45, 539.17
479.799, 539.17
480.149, 495.34
480.499, 523.02
480.848, 476.89
481.198, 458.44
481.547, 444.6
481.897, 453.82
482.246, 499.95
482.595, 467.66
482.945, 481.5
483.294, 548.39
483.643, 520.71
483.992, 576.07
484.341, 652.19
484.69, 571.46
485.039, 569.15
485.388, 615.28
485.737, 596.83
486.086, 726
486.435, 765.21
486.784, 666.03
