wavelength, amplitude
312.634, 394.77
313.003, 388.94
313.372, 404.34
313.741, 398.16
314.11, 395.25
314.478, 388.46
314.847, 397.69
315.216, 401.08
315.584, 392.33
315.953, 391.51
316.322, 402.3
316.69, 401.01
317.059, 399.45
317.427, 385.54
317.796, 392.26
318.164, 404.74
318.532, 391.85
318.901, 394.43
319.269, 387.31
319.637, 392.19
320.005, 392.4
320.374, 399.38
320.742, 405.83
321.11, 398.43
321.478, 396.06
321.846, 398.43
322.214, 399.18
322.582, 393.14
322.95, 397.42
323.317, 393.69
323.685, 404.2
324.053, 404.88
324.421, 392.19
324.788, 398.43
325.156, 401.76
325.524, 398.23
325.891, 393.08
326.259, 398.71
326.626, 405.69
326.994, 395.59
327.361, 411.12
327.728, 400.27
328.096, 390.57
328.463, 389.75
328.83, 395.52
329.198, 398.1
329.565, 403.66
329.932, 398.23
330.299, 408.68
330.666, 405.97
331.033, 400.27
331.4, 400.27
331.767, 390.77
332.134, 410.24
332.501, 409.56
332.867, 401.89
333.234, 395.04
333.601, 388.19
333.968, 401.22
334.334, 398.64
334.701, 397.62
335.068, 403.25
335.434, 403.93
335.801, 414.17
336.167, 423.13
336.533, 433.51
336.9, 441.45
337.266, 422.11
337.632, 407.46
337.999, 401.96
338.365, 397.48
338.731, 402.78
339.097, 404.13
339.463, 412
339.829, 404.54
340.195, 417.5
340.561, 419.8
340.927, 437.78
341.293, 472.65
341.659, 488.87
342.025, 468.45
342.391, 411.94
342.756, 407.32
343.122, 409.02
343.488, 446.19
343.853, 479.84
344.219, 555.62
344.585, 622.72
344.95, 647.55
345.316, 592.53
345.681, 588.93
346.046, 609.42
346.412, 629.43
346.777, 674.34
347.142, 623.26
347.507, 549.18
347.873, 442.12
348.238, 420.75
348.603, 429.85
348.968, 448.64
349.333, 466.07
349.698, 502.1
350.063, 504.67
350.428, 508.41
350.793, 527.88
351.157, 592.32
351.522, 722.51
351.887, 748.43
352.252, 657.11
352.616, 487.31
352.981, 410.24
353.346, 405.08
353.71, 407.25
354.075, 401.15
354.439, 404.27
354.803, 384.66
355.168, 403.73
355.532, 411.8
355.896, 390.63
356.261, 397.42
356.625, 404.34
356.989, 409.02
357.353, 410.65
357.717, 392.53
358.081, 434.66
358.445, 462.61
358.809, 545.24
359.173, 572.65
359.537, 559.35
359.901, 469.46
360.265, 427
360.629, 410.58
360.992, 404.07
361.356, 412.21
361.72, 404.4
362.083, 399.52
362.447, 410.37
362.81, 414.78
363.174, 430.05
363.537, 419.26
363.901, 409.42
364.264, 387.38
364.627, 401.15
364.991, 389.41
365.354, 399.05
365.717, 384.73
366.08, 401.28
366.443, 403.45
366.806, 396.6
367.17, 408.2
367.533, 418.79
367.895, 420.75
368.258, 435.14
368.621, 428.22
368.984, 414.99
369.347, 409.56
369.71, 429.03
370.072, 418.99
370.435, 408
370.798, 405.42
371.16, 399.93
371.523, 397.28
371.885, 411.53
372.248, 401.89
372.61, 406.1
372.973, 400.81
373.335, 390.16
373.697, 398.98
374.06, 400.4
374.422, 400.54
374.784, 400.4
375.146, 403.18
375.508, 410.1
375.87, 386.63
376.232, 399.45
376.594, 391.18
376.956, 393.62
377.318, 398.23
377.68, 390.29
378.042, 393.75
378.404, 396.74
378.765, 402.23
379.127, 392.13
379.489, 389.34
379.85, 392.6
380.212, 398.37
380.573, 408.88
380.935, 397.89
381.296, 390.63
381.658, 403.79
382.019, 406.98
382.38, 411.39
382.742, 400.13
383.103, 386.83
383.464, 403.39
383.825, 390.9
384.186, 402.98
384.547, 402.3
384.909, 399.18
385.27, 393.96
385.63, 391.18
385.991, 396.54
386.352, 389.48
386.713, 395.45
387.074, 391.24
387.435, 382.22
387.795, 401.01
388.156, 405.08
388.517, 398.03
388.877, 397.35
389.238, 388.8
389.598, 397.28
389.959, 394.23
390.319, 401.69
390.679, 397.21
391.04, 396.47
391.4, 392.74
391.76, 385
392.121, 395.31
392.481, 392.74
392.841, 387.99
393.201, 395.92
393.561, 401.83
393.921, 402.71
394.281, 391.38
394.641, 391.99
395.001, 401.69
395.361, 394.97
395.72, 393.28
396.08, 403.32
396.44, 395.52
396.8, 403.86
397.159, 414.17
397.519, 401.49
397.878, 404.54
398.238, 388.94
398.597, 396.6
398.957, 394.3
399.316, 404
399.675, 391.38
400.035, 392.53
400.394, 407.93
400.753, 385.54
401.112, 393.89
401.472, 387.99
401.831, 400.27
402.19, 393.89
402.549, 395.65
402.908, 393.48
403.267, 397.15
403.625, 394.57
403.984, 396.13
404.343, 401.01
404.702, 395.59
405.061, 388.53
405.419, 392.19
405.778, 398.16
406.136, 393.41
406.495, 385.27
406.853, 390.63
407.212, 399.66
407.57, 391.45
407.929, 399.66
408.287, 387.44
408.645, 394.77
409.004, 397.62
409.362, 394.5
409.72, 396.2
410.078, 391.51
410.436, 397.01
410.794, 394.23
411.152, 403.45
411.51, 396.81
411.868, 392.8
412.226, 393.48
412.584, 394.3
412.942, 389.21
413.299, 399.11
413.657, 387.44
414.015, 384.6
414.372, 396.13
414.73, 386.97
415.088, 392.06
415.445, 401.35
415.803, 391.85
416.16, 390.7
416.517, 380.32
416.875, 391.92
417.232, 386.49
417.589, 401.89
417.946, 393.69
418.304, 388.06
418.661, 392.4
419.018, 390.97
419.375, 384.93
419.732, 390.9
420.089, 400.13
420.446, 392.13
420.803, 389.41
421.159, 401.08
421.516, 399.59
421.873, 393.01
422.23, 392.6
422.586, 389.68
422.943, 391.24
423.299, 394.84
423.656, 398.71
424.012, 395.04
424.369, 401.56
424.725, 397.96
425.082, 390.84
425.438, 392.33
425.794, 405.63
426.15, 394.7
426.507, 388.8
426.863, 412.82
427.219, 398.03
427.575, 376.73
427.931, 398.77
428.287, 400.74
428.643, 391.24
428.999, 392.46
429.355, 390.57
429.711, 396.6
430.066, 408.95
430.422, 395.99
430.778, 380.52
431.133, 400
431.489, 389
431.844, 381.61
432.2, 389
432.555, 391.99
432.911, 392.33
433.266, 389.07
433.622, 399.18
433.977, 389.82
434.332, 388.12
434.687, 392.06
435.043, 396.33
435.398, 391.79
435.753, 395.11
436.108, 393.55
436.463, 391.51
436.818, 394.84
437.173, 395.86
437.528, 395.65
437.882, 399.45
438.237, 391.11
438.592, 397.55
438.947, 398.57
439.301, 397.82
439.656, 390.43
440.01, 393.01
440.365, 394.09
440.72, 396.67
441.074, 395.38
441.428, 390.84
441.783, 388.87
442.137, 400.88
442.491, 392.26
442.846, 396.13
443.2, 386.9
443.554, 395.92
443.908, 398.23
444.262, 393.14
444.616, 391.65
444.97, 398.43
445.324, 393.48
445.678, 386.49
446.032, 389.89
446.385, 392.33
446.739, 393.75
447.093, 391.04
447.447, 398.5
447.8, 391.24
448.154, 391.72
448.507, 389.75
448.861, 401.89
449.214, 383.1
449.568, 393.21
449.921, 394.84
450.274, 396.33
450.628, 386.16
450.981, 394.91
451.334, 378.9
451.687, 391.31
452.041, 387.58
452.394, 389
452.747, 389.28
453.1, 398.23
453.453, 402.1
453.805, 410.65
454.158, 392.8
454.511, 400.54
454.864, 382.63
455.217, 384.39
455.569, 383.85
455.922, 393.82
456.275, 398.5
456.627, 397.69
456.98, 398.91
457.332, 390.5
457.684, 396.94
458.037, 391.72
458.389, 390.02
458.741, 395.65
459.094, 392.8
459.446, 397.08
459.798, 395.86
460.15, 394.16
460.502, 392.19
460.854, 388.06
461.206, 392.13
461.558, 389.28
461.91, 392.6
462.262, 399.86
462.614, 391.99
462.966, 392.19
463.317, 396.67
463.669, 400.94
464.021, 391.11
464.372, 384.19
464.724, 399.18
465.075, 401.83
465.427, 399.59
465.778, 396.94
466.13, 382.63
466.481, 389.95
466.832, 384.6
467.183, 392.74
467.535, 387.65
467.886, 389.62
468.237, 381.34
468.588, 388.33
468.939, 387.04
469.29, 402.98
469.641, 402.44
469.992, 406.98
470.343, 421.5
470.694, 427.34
471.044, 431.61
471.395, 417.7
471.746, 404.81
472.096, 395.31
472.447, 388.53
472.798, 381.34
473.148, 383.44
473.499, 391.45
473.849, 387.11
474.199, 398.43
474.55, 398.57
474.9, 392.8
475.25, 404.68
475.6, 402.64
475.951, 390.57
476.301, 395.59
476.651, 387.17
477.001, 392.4
477.351, 406.17
477.701, 388.53
478.051, 394.7
478.4, 381.54
478.75, 389.55
479.1, 394.23
479.45, 391.79
479.799, 392.26
480.149, 405.9
480.499, 387.72
480.848, 393.35
481.198, 395.25
481.547, 404.47
481.897, 400.13
482.246, 397.55
482.595, 400.2
482.945, 387.04
483.294, 404.13
483.643, 399.86
483.992, 396.94
484.341, 400.61
484.69, 395.25
485.039, 392.6
485.388, 385.54
485.737, 398.43
486.086, 408.68
486.435, 403.39
486.784, 397.96
487.132, 392.13
487.481, 392.87
487.83, 385.41
488.178, 393.41
488.527, 410.65
488.876, 399.32
489.224, 393.89
489.572, 376.86
489.921, 382.83
490.269, 391.72
490.618, 389.28
490.966, 389.68
491.314, 378.29
491.662, 388.8
492.01, 380.66
492.358, 397.08
492.706, 401.56
493.054, 390.16
493.402, 395.38
493.75, 390.36
494.098, 395.52
494.446, 393.35
494.794, 397.62
495.142, 395.52
495.489, 399.05
495.837, 401.49
496.184, 393.69
496.532, 392.26
496.88, 396.87
497.227, 399.25
497.574, 384.12
497.922, 388.53
498.269, 391.31
498.616, 396.06
498.964, 399.66
499.311, 391.99
499.658, 380.05
500.005, 391.18
500.352, 405.76
500.699, 394.64
501.046, 380.86
501.393, 394.03
501.74, 401.08
502.087, 397.08
502.434, 403.52
502.78, 442.12
503.127, 463.56
503.474, 508.68
503.82, 499.45
504.167, 450.13
504.513, 410.65
504.86, 382.7
505.206, 403.86
505.553, 400.81
505.899, 394.3
506.245, 384.6
506.592, 405.35
506.938, 407.8
507.284, 431.41
507.63, 459.83
507.976, 460.37
508.322, 421.84
508.668, 404.27
509.014, 392.53
509.36, 399.18
509.706, 396.06
510.052, 405.22
510.398, 397.01
510.743, 426.79
511.089, 498.57
511.435, 555.22
511.78, 540.9
512.126, 468.51
512.471, 422.52
512.817, 392.19
513.162, 396.33
513.508, 397.82
513.853, 417.16
514.198, 453.73
514.543, 454.54
514.889, 448.09
515.234, 429.3
515.579, 426.05
515.924, 399.32
516.269, 399.59
516.614, 395.04
516.959, 398.57
517.304, 392.26
517.648, 393.08
517.993, 391.24
518.338, 421.3
518.683, 454.2
519.027, 458.81
519.372, 434.93
519.716, 437.85
520.061, 448.77
520.405, 452.03
520.75, 441.58
521.094, 427.34
521.439, 403.18
521.783, 401.56
522.127, 408.61
522.471, 403.18
522.815, 397.35
523.159, 406.44
523.504, 403.79
523.848, 393.55
524.192, 393.62
524.535, 396.6
524.879, 387.58
525.223, 401.62
525.567, 394.64
525.911, 382.42
526.254, 386.29
526.598, 393.55
526.942, 402.84
527.285, 391.04
527.629, 404.95
527.972, 396.4
528.316, 406.91
528.659, 386.22
529.002, 391.24
529.346, 399.25
529.689, 411.32
530.032, 406.03
530.375, 402.78
530.718, 416.07
531.061, 402.98
531.404, 410.37
531.747, 411.8
532.09, 441.04
532.433, 528.69
532.776, 694.22
533.119, 697.82
533.461, 686.35
533.804, 749.17
534.147, 764.78
534.489, 636.08
534.832, 486.9
535.174, 426.39
535.517, 412.88
535.859, 420.96
536.202, 416.34
536.544, 396.54
536.886, 398.91
537.229, 413.36
537.571, 414.45
537.913, 391.65
538.255, 396.94
538.597, 409.49
538.939, 455.96
539.281, 631.47
539.623, 1173.65
539.965, 1492.98
540.307, 1214.77
540.648, 673.8
540.99, 477.13
541.332, 420.96
541.674, 417.5
542.015, 397.96
542.357, 394.77
542.698, 399.38
543.04, 414.99
543.381, 414.17
543.722, 414.85
544.064, 386.56
544.405, 407.32
544.746, 394.91
545.087, 402.78
545.429, 401.49
545.77, 395.31
546.111, 397.82
546.452, 386.77
546.793, 389.95
547.134, 407.93
547.474, 385.82
547.815, 396.26
548.156, 398.71
548.497, 398.84
548.837, 391.99
549.178, 400.06
549.519, 398.23
549.859, 401.01
550.2, 390.5
550.54, 386.83
550.881, 390.29
551.221, 399.66
551.561, 390.77
551.901, 397.96
552.242, 395.18
552.582, 396.47
552.922, 388.8
