wavelength, amplitude
312.634, 1077.49
313.003, 1373.98
313.372, 1501.37
313.741, 1148.29
314.11, 725.47
314.478, 495.52
314.847, 457.02
315.216, 448.68
315.584, 433.77
315.953, 435.02
316.322, 436.08
316.69, 421.35
317.059, 446.55
317.427, 424.37
317.796, 424.72
318.164, 435.55
318.532, 446.55
318.901, 448.5
319.269, 413.55
319.637, 440.34
320.005, 444.6
320.374, 422.24
320.742, 427.56
321.11, 436.97
321.478, 445.66
321.846, 433.06
322.214, 439.81
322.582, 445.13
322.95, 462.69
323.317, 479.73
323.685, 471.92
324.053, 452.05
324.421, 474.58
324.788, 455.24
325.156, 462.16
325.524, 463.76
325.891, 462.87
326.259, 487.18
326.626, 469.97
326.994, 470.5
327.361, 472.63
327.728, 476.71
328.096, 487.53
328.463, 475.65
328.83, 479.37
329.198, 493.03
329.565, 539.7
329.932, 518.23
330.299, 502.79
330.666, 506.87
331.033, 486.65
331.4, 475.65
331.767, 476
332.134, 487.18
332.501, 486.29
332.867, 514.5
333.234, 544.13
333.601, 618.3
333.968, 735.4
334.334, 871.32
334.701, 788.63
335.068, 589.56
335.434, 513.08
335.801, 513.44
336.167, 509.18
336.533, 513.97
336.9, 489.49
337.266, 507.58
337.632, 512.91
337.999, 506.16
338.365, 514.33
338.731, 523.2
339.097, 523.73
339.463, 526.39
339.829, 509.89
340.195, 540.59
340.561, 560.28
340.927, 548.75
341.293, 547.33
341.659, 547.15
342.025, 554.78
342.391, 548.57
342.756, 547.51
343.122, 551.05
343.488, 548.04
343.853, 559.75
344.219, 562.94
344.585, 577.85
344.95, 587.07
345.316, 570.39
345.681, 608.19
346.046, 628.77
346.412, 594.7
346.777, 613.86
347.142, 634.98
347.507, 671.71
347.873, 662.66
348.238, 691.05
348.603, 721.21
348.968, 707.37
349.333, 696.55
349.698, 640.48
350.063, 614.22
350.428, 607.65
350.793, 592.93
351.157, 562.59
351.522, 582.1
351.887, 569.33
352.252, 578.2
352.616, 558.86
352.981, 577.67
353.346, 578.73
353.71, 565.07
354.075, 578.56
354.439, 549.46
354.803, 578.02
355.168, 580.33
355.532, 570.22
355.896, 572.88
356.261, 582.28
356.625, 579.98
356.989, 591.51
357.353, 596.3
357.717, 595.94
358.081, 585.3
358.445, 578.56
358.809, 615.28
359.173, 610.85
359.537, 618.48
359.901, 617.95
360.265, 649
360.629, 628.24
360.992, 647.75
361.356, 646.69
361.72, 623.62
362.083, 633.56
362.447, 654.5
362.81, 714.47
363.174, 851.98
363.537, 1263.79
363.901, 2507.94
364.264, 5703.81
364.627, 12820.55
364.991, 23972.41
365.354, 24658.35
365.717, 13942.44
366.08, 6163.71
366.443, 3939.27
366.806, 2675.43
