wavelength, amplitude
311.896, 2823.13
312.265, 4523.09
312.634, 7053.43
313.003, 10095.83
313.372, 10686.31
313.741, 8271.31
314.11, 5145.87
314.478, 2493.29
314.847, 1593.71
315.216, 1446.09
315.584, 1621.39
315.953, 1923.56
316.322, 2078.1
316.69, 1720.58
317.059, 1130.09
317.427, 890.2
317.796, 777.18
318.164, 781.79
318.532, 818.7
318.901, 800.24
319.269, 804.86
319.637, 846.38
320.005, 701.06
320.374, 811.78
320.742, 765.65
321.11, 795.63
321.478, 839.46
321.846, 885.59
322.214, 917.88
322.582, 1014.76
322.95, 1118.55
323.317, 1512.98
323.685, 2606.31
324.053, 3489.74
324.421, 3261.38
324.788, 2687.04
325.156, 1909.72
325.524, 1409.19
325.891, 1335.37
326.259, 1376.89
326.626, 1478.38
326.994, 1572.95
327.361, 1600.63
327.728, 1762.1
328.096, 2368.73
328.463, 3000.74
328.83, 4269.36
329.198, 6451.4
329.565, 9992.03
329.932, 13230.49
330.299, 14409.16
330.666, 11911.12
331.033, 7374.04
331.4, 3824.19
331.767, 2209.57
332.134, 1762.1
332.501, 1683.67
332.867, 1556.81
333.234, 1616.78
333.601, 1552.19
333.968, 1536.05
334.334, 1542.97
334.701, 1572.95
335.068, 1764.4
335.434, 1907.41
335.801, 2484.06
336.167, 3074.55
336.533, 4149.42
336.9, 5108.97
337.266, 6416.81
337.632, 6617.48
337.999, 4638.42
338.365, 2467.91
338.731, 1771.32
339.097, 1773.63
339.463, 1819.76
339.829, 1840.52
340.195, 2068.87
340.561, 2186.51
340.927, 2622.46
341.293, 3526.64
341.659, 4167.87
342.025, 4154.03
342.391, 3542.79
342.756, 2645.52
343.122, 1972
343.488, 1775.93
343.853, 1621.39
344.219, 1725.19
344.585, 1660.6
344.95, 1729.8
345.316, 1667.52
345.681, 1646.77
346.046, 1909.72
346.412, 2103.47
346.777, 2465.61
347.142, 2956.91
347.507, 4029.48
347.873, 5512.62
348.238, 7565.49
348.603, 9366.94
348.968, 9925.14
349.333, 8322.05
349.698, 6133.09
350.063, 4022.56
350.428, 2936.15
350.793, 2629.38
351.157, 2449.46
351.522, 2375.65
351.887, 2472.53
352.252, 2562.48
352.616, 2652.44
352.981, 2936.15
353.346, 3300.59
353.71, 3842.64
354.075, 3944.13
354.439, 3420.54
354.803, 2719.33
355.168, 2412.56
355.532, 2460.99
355.896, 2590.16
356.261, 3058.4
356.625, 3611.98
356.989, 4338.56
357.353, 5572.59
357.717, 6702.82
358.081, 7655.45
358.445, 6423.73
358.809, 4656.87
359.173, 4008.72
359.537, 3678.88
359.901, 3385.94
360.265, 3517.41
360.629, 3976.43
360.992, 4246.3
361.356, 4087.14
361.72, 3745.77
362.083, 3134.52
362.447, 2454.07
362.81, 2216.49
363.174, 2094.24
363.537, 2168.06
363.901, 2131.15
364.264, 2214.19
364.627, 2068.87
364.991, 2043.5
365.354, 2098.86
365.717, 2158.83
366.08, 2394.1
366.443, 2714.72
366.806, 3028.42
367.17, 3489.74
367.533, 4119.44
367.895, 4776.82
368.258, 5339.63
368.621, 5874.76
368.984, 6285.33
369.347, 6635.93
369.71, 6522.91
370.072, 5734.05
370.435, 5120.5
370.798, 4430.83
371.16, 4297.04
371.523, 4124.05
371.885, 3646.58
372.248, 3422.84
372.61, 3129.91
372.973, 3049.18
373.335, 2966.14
373.697, 3111.45
374.06, 3099.92
374.422, 3014.58
374.784, 3148.36
375.146, 3208.33
375.508, 3448.22
375.87, 3685.8
376.232, 3132.21
376.594, 2742.4
376.956, 2486.37
377.318, 2643.21
377.68, 2783.92
378.042, 3023.8
