wavelength, amplitude
312.634, 349.88
313.003, 409.85
313.372, 389.09
313.741, 382.17
314.11, 361.41
314.478, 432.92
314.847, 375.25
315.216, 368.33
315.584, 389.09
315.953, 363.72
316.322, 359.11
316.69, 430.61
317.059, 349.88
317.427, 442.15
317.796, 352.19
318.164, 386.79
318.532, 389.09
318.901, 460.6
319.269, 349.88
319.637, 322.2
320.005, 400.63
320.374, 359.11
320.742, 359.11
321.11, 479.05
321.478, 322.2
321.846, 370.64
322.214, 396.01
322.582, 446.76
322.95, 419.08
323.317, 409.85
323.685, 437.53
324.053, 382.17
324.421, 421.39
324.788, 407.55
325.156, 370.64
325.524, 393.71
325.891, 379.87
326.259, 366.03
326.626, 391.4
326.994, 372.95
327.361, 384.48
327.728, 372.95
328.096, 370.64
328.463, 347.58
328.83, 412.16
329.198, 333.74
329.565, 402.93
329.932, 345.27
330.299, 412.16
330.666, 416.77
331.033, 386.79
331.4, 398.32
331.767, 449.07
332.134, 356.8
332.501, 391.4
332.867, 405.24
333.234, 368.33
333.601, 375.25
333.968, 421.39
334.334, 398.32
334.701, 409.85
335.068, 414.47
335.434, 412.16
335.801, 421.39
336.167, 405.24
336.533, 393.71
336.9, 437.53
337.266, 375.25
337.632, 384.48
337.999, 400.63
338.365, 481.36
338.731, 379.87
339.097, 398.32
339.463, 389.09
339.829, 426
340.195, 405.24
340.561, 349.88
340.927, 377.56
341.293, 368.33
341.659, 400.63
342.025, 432.92
342.391, 446.76
342.756, 437.53
343.122, 432.92
343.488, 379.87
343.853, 382.17
344.219, 393.71
344.585, 402.93
344.95, 446.76
345.316, 377.56
345.681, 402.93
346.046, 375.25
346.412, 426
346.777, 333.74
347.142, 423.69
347.507, 319.9
347.873, 393.71
348.238, 428.31
348.603, 428.31
348.968, 419.08
349.333, 366.03
349.698, 407.55
350.063, 393.71
350.428, 435.23
350.793, 430.61
351.157, 393.71
351.522, 414.47
351.887, 384.48
352.252, 405.24
352.616, 315.28
352.981, 430.61
353.346, 396.01
353.71, 402.93
354.075, 363.72
354.439, 419.08
354.803, 389.09
355.168, 414.47
355.532, 398.32
355.896, 407.55
356.261, 389.09
356.625, 363.72
356.989, 400.63
357.353, 409.85
357.717, 396.01
358.081, 363.72
358.445, 435.23
358.809, 389.09
359.173, 375.25
359.537, 382.17
359.901, 347.58
360.265, 386.79
360.629, 455.99
360.992, 430.61
361.356, 412.16
361.72, 416.77
362.083, 382.17
362.447, 426
362.81, 416.77
363.174, 435.23
363.537, 432.92
363.901, 384.48
364.264, 354.49
364.627, 386.79
364.991, 340.66
365.354, 386.79
365.717, 324.51
366.08, 421.39
366.443, 423.69
366.806, 446.76
367.17, 474.44
367.533, 405.24
367.895, 481.36
368.258, 396.01
368.621, 412.16
368.984, 467.52
369.347, 451.37
369.71, 405.24
370.072, 372.95
370.435, 453.68
370.798, 366.03
371.16, 386.79
371.523, 382.17
371.885, 444.45
372.248, 396.01
372.61, 375.25
372.973, 469.82
373.335, 379.87
373.697, 419.08
374.06, 451.37
374.422, 366.03
374.784, 423.69
375.146, 483.66
375.508, 375.25
375.87, 460.6
376.232, 333.74
376.594, 432.92
376.956, 389.09
377.318, 356.8
377.68, 405.24
378.042, 391.4
378.404, 474.44
378.765, 442.15
379.127, 389.09
379.489, 423.69
379.85, 426
380.212, 458.29
380.573, 437.53
380.935, 400.63
381.296, 354.49
381.658, 345.27
382.019, 356.8
382.38, 416.77
382.742, 389.09
383.103, 398.32
383.464, 384.48
383.825, 393.71
384.186, 423.69
384.547, 423.69
384.909, 419.08
385.27, 379.87
385.63, 412.16
385.991, 405.24
386.352, 428.31
386.713, 495.2
387.074, 359.11
387.435, 407.55
387.795, 372.95
388.156, 379.87
388.517, 342.96
388.877, 442.15
389.238, 437.53
389.598, 384.48
389.959, 409.85
390.319, 423.69
390.679, 442.15
391.04, 389.09
391.4, 398.32
391.76, 426
392.121, 437.53
392.481, 414.47
392.841, 409.85
393.201, 419.08
393.561, 414.47
393.921, 416.77
394.281, 405.24
394.641, 356.8
395.001, 412.16
395.361, 368.33
395.72, 372.95
396.08, 391.4
396.44, 366.03
396.8, 389.09
397.159, 396.01
397.519, 361.41
397.878, 453.68
398.238, 462.9
398.597, 368.33
398.957, 368.33
399.316, 409.85
399.675, 363.72
400.035, 396.01
400.394, 437.53
400.753, 432.92
401.112, 449.07
401.472, 366.03
401.831, 377.56
402.19, 361.41
402.549, 377.56
402.908, 398.32
403.267, 412.16
403.625, 428.31
403.984, 363.72
404.343, 405.24
404.702, 488.28
405.061, 379.87
405.419, 342.96
405.778, 393.71
406.136, 345.27
406.495, 437.53
406.853, 400.63
407.212, 368.33
407.57, 315.28
407.929, 402.93
408.287, 430.61
408.645, 370.64
409.004, 414.47
409.362, 336.04
409.72, 393.71
410.078, 379.87
410.436, 349.88
410.794, 409.85
411.152, 342.96
411.51, 370.64
411.868, 442.15
412.226, 451.37
412.584, 342.96
412.942, 359.11
413.299, 363.72
413.657, 377.56
414.015, 331.43
414.372, 432.92
414.73, 391.4
415.088, 379.87
415.445, 359.11
415.803, 400.63
416.16, 451.37
416.517, 366.03
416.875, 349.88
417.232, 502.12
417.589, 352.19
417.946, 372.95
418.304, 426
418.661, 400.63
419.018, 430.61
419.375, 437.53
419.732, 333.74
420.089, 391.4
420.446, 402.93
420.803, 430.61
421.159, 407.55
421.516, 354.49
421.873, 375.25
422.23, 426
422.586, 370.64
422.943, 354.49
423.299, 412.16
423.656, 412.16
424.012, 419.08
424.369, 442.15
424.725, 379.87
425.082, 426
425.438, 342.96
425.794, 416.77
426.15, 451.37
426.507, 608.22
426.863, 806.59
427.219, 1604.67
427.575, 1881.46
427.931, 1341.72
428.287, 797.36
428.643, 564.4
428.999, 515.96
429.355, 474.44
429.711, 430.61
430.066, 449.07
430.422, 460.6
430.778, 502.12
431.133, 665.89
431.489, 1274.83
431.844, 2220.53
432.2, 2481.18
432.555, 1440.9
432.911, 635.9
433.266, 428.31
433.622, 439.84
433.977, 446.76
434.332, 437.53
434.687, 359.11
435.043, 421.39
435.398, 467.52
435.753, 578.23
436.108, 693.56
436.463, 742
436.818, 610.53
437.173, 716.63
437.528, 1034.94
437.882, 1041.86
438.237, 758.15
438.592, 483.66
438.947, 379.87
439.301, 437.53
439.656, 455.99
440.01, 492.89
440.365, 485.97
440.72, 506.73
441.074, 407.55
441.428, 416.77
441.783, 342.96
442.137, 485.97
442.491, 423.69
442.846, 465.21
443.2, 400.63
443.554, 405.24
443.908, 416.77
444.262, 354.49
444.616, 444.45
444.97, 647.43
445.324, 792.75
445.678, 871.17
446.032, 951.9
446.385, 1143.35
446.739, 981.89
447.093, 691.26
447.447, 449.07
447.8, 349.88
448.154, 437.53
448.507, 379.87
448.861, 386.79
449.214, 462.9
449.568, 492.89
449.921, 665.89
450.274, 880.4
450.628, 848.11
450.981, 511.34
451.334, 412.16
451.687, 340.66
452.041, 421.39
452.394, 409.85
452.747, 356.8
453.1, 389.09
453.453, 340.66
453.805, 421.39
454.158, 375.25
454.511, 338.35
454.864, 345.27
455.217, 377.56
455.569, 407.55
455.922, 370.64
456.275, 398.32
456.627, 347.58
456.98, 405.24
457.332, 414.47
457.684, 391.4
458.037, 377.56
458.389, 444.45
458.741, 386.79
459.094, 391.4
459.446, 393.71
459.798, 382.17
460.15, 428.31
460.502, 423.69
460.854, 398.32
461.206, 342.96
461.558, 439.84
461.91, 416.77
462.262, 377.56
462.614, 437.53
462.966, 396.01
463.317, 453.68
463.669, 414.47
464.021, 372.95
464.372, 407.55
464.724, 409.85
465.075, 409.85
465.427, 419.08
465.778, 375.25
466.13, 419.08
466.481, 407.55
466.832, 361.41
467.183, 361.41
467.535, 407.55
467.886, 421.39
468.237, 368.33
468.588, 423.69
468.939, 377.56
469.29, 349.88
469.641, 338.35
469.992, 354.49
470.343, 419.08
470.694, 354.49
471.044, 363.72
471.395, 352.19
471.746, 361.41
472.096, 375.25
472.447, 361.41
472.798, 412.16
473.148, 377.56
473.499, 354.49
473.849, 449.07
474.199, 423.69
474.55, 389.09
474.9, 368.33
475.25, 384.48
475.6, 462.9
475.951, 400.63
476.301, 391.4
476.651, 386.79
477.001, 449.07
477.351, 405.24
477.701, 379.87
478.051, 389.09
478.4, 372.95
478.75, 347.58
479.1, 405.24
479.45, 414.47
479.799, 400.63
480.149, 458.29
480.499, 407.55
480.848, 349.88
481.198, 451.37
481.547, 485.97
481.897, 421.39
482.246, 396.01
482.595, 368.33
482.945, 386.79
483.294, 356.8
483.643, 407.55
483.992, 382.17
484.341, 308.36
484.69, 382.17
485.039, 370.64
485.388, 400.63
485.737, 398.32
486.086, 370.64
486.435, 426
486.784, 400.63
487.132, 333.74
487.481, 363.72
487.83, 414.47
488.178, 363.72
488.527, 370.64
488.876, 469.82
489.224, 389.09
489.572, 414.47
489.921, 356.8
490.269, 442.15
490.618, 432.92
490.966, 349.88
491.314, 446.76
491.662, 324.51
492.01, 354.49
492.358, 442.15
492.706, 405.24
493.054, 384.48
493.402, 396.01
493.75, 310.67
494.098, 432.92
494.446, 349.88
494.794, 366.03
495.142, 405.24
495.489, 361.41
495.837, 396.01
496.184, 349.88
496.532, 449.07
496.88, 423.69
497.227, 409.85
497.574, 414.47
497.922, 419.08
498.269, 421.39
498.616, 396.01
498.964, 444.45
499.311, 382.17
499.658, 379.87
500.005, 416.77
500.352, 446.76
500.699, 428.31
501.046, 384.48
501.393, 359.11
501.74, 349.88
502.087, 421.39
502.434, 402.93
502.78, 366.03
503.127, 400.63
503.474, 396.01
503.82, 421.39
504.167, 416.77
504.513, 338.35
504.86, 389.09
505.206, 442.15
505.553, 398.32
505.899, 455.99
506.245, 366.03
506.592, 396.01
506.938, 308.36
507.284, 372.95
507.63, 402.93
507.976, 375.25
508.322, 377.56
508.668, 379.87
509.014, 352.19
509.36, 407.55
509.706, 412.16
510.052, 349.88
510.398, 359.11
510.743, 455.99
511.089, 432.92
511.435, 402.93
511.78, 432.92
512.126, 432.92
512.471, 352.19
512.817, 391.4
513.162, 407.55
513.508, 414.47
513.853, 414.47
514.198, 391.4
514.543, 356.8
514.889, 400.63
515.234, 432.92
515.579, 391.4
515.924, 361.41
516.269, 361.41
516.614, 398.32
516.959, 455.99
517.304, 370.64
517.648, 419.08
517.993, 419.08
518.338, 409.85
518.683, 347.58
519.027, 349.88
519.372, 342.96
519.716, 421.39
520.061, 416.77
520.405, 389.09
520.75, 419.08
521.094, 391.4
521.439, 472.13
521.783, 423.69
522.127, 497.5
522.471, 389.09
522.815, 407.55
523.159, 326.82
523.504, 423.69
523.848, 382.17
524.192, 442.15
524.535, 396.01
524.879, 366.03
525.223, 396.01
525.567, 384.48
525.911, 359.11
526.254, 363.72
526.598, 342.96
526.942, 432.92
527.285, 384.48
527.629, 345.27
527.972, 393.71
528.316, 409.85
528.659, 349.88
529.002, 375.25
529.346, 379.87
529.689, 324.51
530.032, 384.48
530.375, 345.27
530.718, 370.64
531.061, 437.53
531.404, 405.24
531.747, 462.9
532.09, 356.8
532.433, 372.95
532.776, 375.25
533.119, 423.69
533.461, 377.56
533.804, 407.55
534.147, 398.32
534.489, 375.25
534.832, 419.08
535.174, 349.88
535.517, 423.69
535.859, 419.08
536.202, 370.64
536.544, 439.84
536.886, 377.56
537.229, 483.66
537.571, 430.61
537.913, 396.01
538.255, 366.03
538.597, 446.76
538.939, 352.19
539.281, 356.8
539.623, 372.95
539.965, 444.45
540.307, 342.96
540.648, 303.75
540.99, 352.19
541.332, 370.64
541.674, 382.17
542.015, 322.2
542.357, 432.92
542.698, 419.08
543.04, 405.24
543.381, 402.93
543.722, 326.82
544.064, 368.33
544.405, 389.09
544.746, 312.98
545.087, 439.84
545.429, 329.12
545.77, 400.63
546.111, 437.53
546.452, 382.17
546.793, 338.35
547.134, 393.71
547.474, 375.25
547.815, 370.64
548.156, 361.41
548.497, 402.93
548.837, 421.39
549.178, 416.77
549.519, 419.08
549.859, 437.53
550.2, 476.74
550.54, 476.74
550.881, 497.5
